index,y1,y2,y3,y4
SIS         ,0.6203079322551043,0.6258390304459108,0.6009233406956014,0.6838802912230636
COR         ,0.5953513882328242,0.6014526146363653,0.576087580258577,0.6715915253940762
KAN         ,0.30059166939185833,0.29719123578358353,0.2933683974661773,0.2945447718711772
MIG         ,0.390554212552601,0.38498075029098405,0.39013788163667296,0.4366460739546962
ANGLG       ,0.0,0.0,0.0,0.0
ANG         ,0.36519419219126775,0.3318857787843474,0.369108086516121,0.45234613777787547
CHO         ,0.6895934600088378,0.653964133156577,0.6835027249963176,0.7486264545588452
CRBLG       ,0.0,0.0,0.0,0.0
CRB         ,0.7352380313899006,0.7307965913577215,0.7579145157806134,0.7861926151049932
ZON         ,0.10145237740718682,0.10243572563033553,0.10211207894910992,0.1097275990999934
TIQLG       ,0.0,0.0,0.0,0.0
TIQ         ,0.1459378582032057,0.14404114286788056,0.14253668940376193,0.16246453201044778
BOT         ,0.6108227894782721,0.6065650165282053,0.6019719858655349,0.6249505494873911
CUT         ,0.5956051470749022,0.5905369918674944,0.5846373968030566,0.5982445834650318
SRO01       ,0.5985474157898221,0.6039656541592219,0.5881609423598703,0.6085947323142082
SRO02LG     ,0.0,0.0,0.0,0.0
SRO02       ,0.4705182584329655,0.4812492791880774,0.48156750430351414,0.4910907646372874
SAI         ,0.7084050880626223,0.706696020874103,0.6989845618612741,0.7076190476190476
CHU         ,0.6315577448425564,0.635439652831356,0.6235745205839136,0.6355295742580134
HAR         ,0.6819038534573364,0.6779214470558103,0.6712765957446808,0.676640346925978
CAH         ,0.6477524208083594,0.6420678804115781,0.6375860034743612,0.6427820636922746
HUA         ,0.7098813391187139,0.7083293577773234,0.7039838857463067,0.7097189092588807
CHJLG       ,0.0,0.0,0.0,0.0
CHJ         ,0.42645934408295283,0.4305811215753425,0.4238171256659057,0.42672213898401834
YAN         ,0.48231728641797506,0.48878091451864203,0.48168368993644706,0.48417334876081214
KIL         ,0.3850698045948234,0.3877493234140467,0.3874323910805902,0.39216849275327764
LAN         ,0.3820454847719111,0.3848738750720397,0.38454360065611565,0.38914749301768836
PUH         ,0.7486348934550989,0.753091704718417,0.7507562785388128,0.7545329147640791
QUE         ,0.5635283032543308,0.5599888864729048,0.5588835737237565,0.5564313498103454
SJA         ,0.4241112416908443,0.42878915861765027,0.4159688812173295,0.40867426885550934
MIS         ,0.18280133985253308,0.18280133985253313,0.18280133985253308,0.1813870959550489
MOLLE       ,0.0,0.0,0.0,0.0
SJS         ,0.7222303896314949,0.7314084634464456,0.7389233176602844,0.7128579733600052
SJE         ,0.67202869139819,0.6805996840113201,0.6822909780290375,0.663323310108299
CALACHAUM_LG,0.0,0.0,0.0,0.0
CALACHAKA_TO,0.0,0.0,0.0,0.0
CHUCALOMA_TO,0.0,0.0,0.0,0.0
CHACAJAHU_TO,0.0,0.0,0.0,0.0
CARABUCO_TO ,0.0,0.0,0.0,0.0
UMAPALCA_CA ,0.0,0.0,0.0,0.0
UMA         ,0.0,0.2849580900170818,0.580813238145458,0.5925394897446655
PALILLA01_CA,0.0,0.0,0.0,0.0
JALANCHA_TO ,0.0,0.0,0.0,0.0
CALACHAMI_TO,0.0,0.0,0.0,0.0
PALILLA02_CA,0.0,0.0,0.0,0.0
CHORO_TO    ,0.0,0.0,0.0,0.0
KEWANI_TO   ,0.0,0.0,0.0,0.0
PLD         ,0.0,0.0,0.28324186847736604,0.583664458773027
SEH         ,0.0,0.0,0.3841147363795536,0.4885865277213737
JUN         ,0.0,0.0,0.3735405862437643,0.4695884965907361
JUNTAS_TO   ,0.0,0.0,0.0,0.0
FICTICIA    ,0.0,0.0,0.0,0.0
CON            ,0.07557396940958584,0.7478047067088164,0.7504470415429321,0.7538716990771785
